"姓名","现工作单位及职务","性别","民族","籍贯","出生年月","参加工作时间","任现职务时间","任现职级时间","入党时间","全日制学历学位","全日制毕业院校及专业","在职学历学位","在职毕业院校及专业","任二主时间"
"奚他健","部门一\n一级主任科员","男","汉","四川成都","1966.01","1986.06","2001.08","2001.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"柳再俊","部门三\n一级科员","男","汉","四川成都","1957.08","1979.02","2009.10","2009.10","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"常对毅","部门四\n二级科员","男","汉","四川成都","1975.07","2012.02","2020.09","2020.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"任故军","部门四\n三级调研员","男","汉","四川成都","1979.08","2008.11","2015.05","2015.05","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"唐后强","部门四\n四级调研员","女","汉","四川成都","1974.06","2000.07","2012.06","2012.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"姚后伟","部门三\n二级调研员","女","汉","四川成都","1997.11","2020.06","2022.08","2022.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"酆因俊","部门五\n一级主任科员","女","汉","四川成都","1975.07","2009.12","2022.07","2022.07","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"梁道军","部门四\n一级科员","男","汉","四川成都","1979.05","2007.04","2010.02","2010.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"谢还俊","部门二\n三级调研员","男","汉","四川成都","1958.02","2016.04","2021.04","2021.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"薛打勇","部门一\n四级调研员","男","汉","四川成都","1974.10","2011.08","2022.11","2022.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"窦把勇","部门四\n二级主任科员","男","汉","四川成都","1961.07","1986.05","1992.01","1992.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"施再健","部门四\n三级调研员","女","汉","四川成都","1997.01","2019.02","2021.12","2021.12","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"花本强","部门三\n三级调研员","男","汉","四川成都","1962.03","1982.02","2012.09","2012.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"韩做伟","部门三\n一级主任科员","女","汉","四川成都","1983.10","2005.09","2022.02","2022.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"邵起健","部门三\n四级调研员","男","汉","四川成都","1968.07","2004.06","2009.05","2009.05","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"王道军","部门五\n三级调研员","男","汉","四川成都","1993.03","2016.02","2020.09","2020.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"殷起来伟","部门三\n二级调研员","男","汉","四川成都","1990.06","2012.10","2022.08","2022.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"戴以杰","部门一\n三级主任科员","女","汉","四川成都","1986.10","2014.02","2017.06","2017.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"湛有峰","部门一\n四级调研员","男","汉","四川成都","1975.07","2009.05","2012.05","2012.05","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"舒很毅","部门四\n一级主任科员","女","汉","四川成都","1970.08","2009.10","2013.06","2013.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"褚是军","部门四\n一级主任科员","女","汉","四川成都","1963.07","2017.01","2022.01","2022.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"计看健","部门一\n三级主任科员","女","汉","四川成都","1955.12","2009.05","2015.09","2015.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"陶个峰","部门二\n一级主任科员","男","汉","四川成都","1969.05","1994.03","2013.03","2013.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"章看健","部门二\n二级调研员","男","汉","四川成都","1963.03","1986.07","2020.03","2020.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"祁他健","部门一\n三级主任科员","男","汉","四川成都","1959.02","2002.01","2009.05","2009.05","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"唐到刚","部门一\n一级主任科员","女","汉","四川成都","1970.10","2012.09","2022.06","2022.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"湛和伟","部门一\n二级调研员","女","汉","四川成都","1962.03","1991.05","2016.04","2016.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"许说话毅","部门五\n三级调研员","女","汉","四川成都","1958.03","2004.07","2016.11","2016.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"罗一峰","部门五\n一级主任科员","男","汉","四川成都","1994.01","2017.06","2019.12","2019.12","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"平都军","部门一\n处长","女","汉","四川成都","1962.09","1996.10","2017.01","2017.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"窦到勇","部门一\n一级主任科员","男","汉","四川成都","1982.02","2008.08","2016.11","2016.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"贺还军","部门二\n二级调研员","女","汉","四川成都","1980.04","2000.03","2019.04","2019.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"酆是杰","部门四\n三级调研员","男","汉","四川成都","1984.08","2016.02","2019.01","2019.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"沈好伟","部门一\n二级主任科员","女","汉","四川成都","1986.10","2008.11","2021.02","2021.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"陶去伟","部门五\n四级主任科员","女","汉","四川成都","1978.11","2005.03","2022.03","2022.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"姜着毅","部门五\n副处长","女","汉","四川成都","1964.08","2008.07","2010.06","2010.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"安和刚","部门三\n二级调研员","男","汉","四川成都","1988.06","2018.11","2021.11","2021.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"葛是毅","部门五\n二级科员","男","汉","四川成都","1986.04","2011.11","2018.02","2018.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"潘很毅","部门二\n二级科员","女","汉","四川成都","1970.11","2010.11","2016.03","2016.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"钱上杰","部门五\n四级调研员","男","汉","四川成都","1964.01","1986.03","2004.01","2004.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"舒人健","部门五\n二级主任科员","女","汉","四川成都","1960.11","2019.06","2022.04","2022.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"薛有杰","部门五\n三级调研员","女","汉","四川成都","1999.12","2020.07","2022.07","2022.07","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"郝子军","部门一\n三级主任科员","男","汉","四川成都","1995.08","2020.12","2022.09","2022.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"戚我军","部门一\n一级科员","男","汉","四川成都","1975.10","2013.09","2015.12","2015.12","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"金就强","部门四\n一级科员","男","汉","四川成都","1983.05","2005.08","2019.01","2019.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"周后峰","部门五\n一级主任科员","女","汉","四川成都","1976.06","2007.09","2017.01","2017.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"汤因勇","部门二\n三级调研员","男","汉","四川成都","1964.03","2004.10","2013.08","2013.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"尹都伟","部门五\n三级调研员","女","汉","四川成都","1987.10","2007.04","2014.03","2014.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"何做俊","部门四\n四级调研员","男","汉","四川成都","1957.11","1990.02","1995.03","1995.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"郎起峰","部门五\n三级调研员","女","汉","四川成都","1981.04","2008.05","2016.10","2016.10","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"元里伟","部门四\n三级调研员","男","汉","四川成都","1981.09","2002.12","2013.06","2013.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"云以杰","部门三\n四级主任科员","男","汉","四川成都","1962.07","2015.04","2022.08","2022.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"彭生峰","部门一\n三级调研员","女","汉","四川成都","1989.02","2015.05","2020.04","2020.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"康这强","部门一\n三级调研员","男","汉","四川成都","1999.05","2019.04","2022.10","2022.10","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"何因伟","部门四\n二级调研员","男","汉","四川成都","1992.09","2013.06","2022.04","2022.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"齐了峰","部门四\n三级调研员","女","汉","四川成都","1962.12","1994.05","2000.07","2000.07","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"于为毅","部门五\n三级调研员","男","汉","四川成都","1961.09","1982.01","2021.02","2021.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"熊起来强","部门四\n一级主任科员","女","汉","四川成都","1958.11","1996.04","2008.12","2008.12","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"明地伟","部门三\n二级调研员","男","汉","四川成都","1970.07","1992.11","2020.09","2020.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"施可健","部门五\n三级调研员","男","汉","四川成都","1978.12","2017.01","2019.03","2019.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"潘只健","部门四\n四级主任科员","男","汉","四川成都","1966.02","1988.05","1998.09","1998.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"孙还峰","部门五\n二级主任科员","女","汉","四川成都","1973.10","2007.03","2010.08","2010.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"滕人健","部门五\n处长","女","汉","四川成都","1959.02","2009.10","2022.05","2022.05","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"和时强","部门四\n三级主任科员","男","汉","四川成都","1993.07","2020.06","2022.06","2022.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"岑时刚","部门三\n一级主任科员","男","汉","四川成都","1959.01","2008.04","2017.04","2017.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"李子刚","部门一\n四级调研员","女","汉","四川成都","1966.09","2012.09","2022.05","2022.05","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"乐起来峰","部门一\n二级科员","男","汉","四川成都","1997.12","2017.03","2022.09","2022.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"何起来军","部门一\n四级主任科员","女","汉","四川成都","1999.06","2019.05","2022.10","2022.10","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"奚听俊","部门五\n四级调研员","女","汉","四川成都","1999.10","2019.08","2021.06","2021.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"孔想俊","部门二\n四级主任科员","男","汉","四川成都","2000.10","2020.05","2022.02","2022.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"余使勇","部门四\n一级主任科员","男","汉","四川成都","1973.12","2003.07","2005.09","2005.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"任中伟","部门四\n一级科员","女","汉","四川成都","1991.05","2019.06","2022.06","2022.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"湛有杰","部门三\n四级主任科员","女","汉","四川成都","1998.12","2018.03","2020.10","2020.10","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"姚你军","部门一\n一级主任科员","男","汉","四川成都","1972.03","2010.10","2012.09","2012.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"彭不俊","部门一\n二级科员","男","汉","四川成都","1965.09","2001.09","2014.08","2014.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"凤把毅","部门三\n二级科员","女","汉","四川成都","1975.03","2006.03","2011.03","2011.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"华他勇","部门一\n一级主任科员","女","汉","四川成都","1999.04","2020.09","2022.06","2022.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"殷地勇","部门四\n一级科员","男","汉","四川成都","1990.10","2012.06","2021.02","2021.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"许为峰","部门四\n处长","女","汉","四川成都","1976.05","2019.11","2021.11","2021.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"宋着军","部门一\n三级调研员","男","汉","四川成都","1961.05","1995.05","2004.08","2004.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"苏时健","部门二\n一级科员","男","汉","四川成都","1990.09","2011.04","2018.08","2018.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"米这健","部门五\n二级调研员","女","汉","四川成都","1961.01","1990.06","2006.03","2006.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"傅想毅","部门三\n一级主任科员","女","汉","四川成都","1965.09","2002.07","2019.10","2019.10","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"陈见刚","部门五\n副处长","女","汉","四川成都","1992.07","2020.06","2022.11","2022.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"岑得俊","部门五\n三级主任科员","女","汉","四川成都","1967.04","2012.02","2020.08","2020.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"金学军","部门四\n一级科员","男","汉","四川成都","1999.08","2020.10","2022.01","2022.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"赵国健","部门三\n二级调研员","女","汉","四川成都","1983.07","2004.09","2010.01","2010.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"朱大强","部门五\n四级调研员","女","汉","四川成都","1977.03","2015.04","2020.05","2020.05","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"史使刚","部门一\n三级主任科员","女","汉","四川成都","1993.06","2018.12","2022.02","2022.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"熊只毅","部门二\n副处长","女","汉","四川成都","1989.04","2014.08","2016.01","2016.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"吕不峰","部门三\n一级主任科员","女","汉","四川成都","1967.04","2011.12","2017.08","2017.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"杨么军","部门三\n四级主任科员","男","汉","四川成都","1962.12","1985.01","2010.11","2010.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"尹打健","部门五\n二级调研员","男","汉","四川成都","1970.12","1996.02","2022.01","2022.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"柏见健","部门二\n二级调研员","女","汉","四川成都","1959.08","1983.10","2007.06","2007.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"郑到峰","部门一\n二级调研员","男","汉","四川成都","1961.06","2011.02","2020.05","2020.05","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"苏来军","部门一\n三级调研员","女","汉","四川成都","1994.07","2020.08","2022.09","2022.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"汪她健","部门二\n三级主任科员","男","汉","四川成都","1959.07","2019.01","2022.02","2022.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"时国勇","部门四\n四级调研员","女","汉","四川成都","1990.09","2015.08","2020.11","2020.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
