name,job,birth_date,entry_date,last_promotion_date
李俊,三级科员,1979-05-14,2006-11-20,2021-09-27
陈军,四级科员,1974-03-03,1998-12-11,2010-12-14
谢强,二级科员,1983-01-30,2009-09-30,2022-02-28
王俊,处长,1984-08-02,2020-01-15,2022-06-24
章勇,二级科员,2000-06-22,2020-03-17,2022-04-19
尹军,三级科员,1983-01-09,2010-06-12,2015-06-16
计刚,一级科员,1966-03-31,1993-08-16,2017-08-17
梁强,二级科员,1958-01-30,2007-02-22,2013-09-10
黄强,二级科员,1979-06-29,2015-09-26,2017-05-24
张伟,四级科员,1982-07-04,2017-06-24,2020-01-28
褚毅,副处长,1988-04-30,2020-01-14,2022-03-02
毕军,副处长,1988-11-08,2008-03-05,2021-02-11
谢健,处长,1964-04-08,1995-04-07,2000-01-19
钱勇,三级科员,1983-08-06,2018-05-13,2021-08-27
戚毅,四级科员,1984-04-30,2013-07-15,2018-07-09
喻峰,二级科员,1995-07-07,2019-06-23,2021-01-19
陶刚,二级科员,1980-09-24,2016-09-24,2021-01-23
岑强,副处长,1975-03-06,1995-01-20,2015-03-11
郑健,四级科员,1965-05-25,2000-02-19,2021-03-16
谈强,处长,1965-04-25,2011-07-06,2018-12-21
梁健,二级科员,1987-09-11,2015-08-06,2020-03-13
凤伟,三级科员,1959-07-11,2013-12-27,2019-07-03
屈俊,四级科员,1974-10-27,2003-03-12,2013-03-09
柳俊,副处长,1974-03-13,2009-05-24,2012-12-31
郎强,二级科员,1960-09-29,2004-08-11,2013-09-19
祝峰,四级科员,1975-03-24,2003-09-14,2022-08-12
蒋毅,三级科员,1999-08-27,2020-11-27,2022-02-12
苗伟,四级科员,1979-01-30,2020-04-08,2022-09-30
狄俊,四级科员,1991-09-21,2011-10-19,2018-05-06
韦俊,处长,1968-11-09,2000-03-02,2012-10-10
雷健,二级科员,1978-06-29,2006-12-11,2014-11-25
赵伟,一级科员,1959-11-29,1986-02-20,1989-02-24
华杰,四级科员,1960-07-17,1999-06-30,2008-10-06
酆毅,处长,1957-09-10,1987-04-01,1995-02-15
酆勇,三级科员,1995-05-31,2018-09-08,2022-04-18
皮峰,四级科员,1983-02-22,2012-03-29,2020-01-27
魏伟,一级科员,1985-05-02,2011-01-19,2019-02-12
史健,三级科员,2000-05-08,2020-03-27,2022-07-28
褚健,副处长,1994-09-03,2019-05-16,2021-03-31
于健,四级科员,1973-02-12,2003-01-20,2013-09-22
魏刚,一级科员,1999-02-13,2019-01-27,2022-11-10
安伟,处长,1966-01-11,1994-10-08,2008-08-16
傅峰,一级科员,1973-08-04,2009-01-28,2012-06-04
冯健,三级科员,1963-06-28,2016-05-18,2022-07-28
皮俊,副处长,1989-11-24,2012-12-21,2017-09-11
屈健,三级科员,1973-07-16,1994-12-21,2008-12-21
谢毅,处长,1962-12-01,1998-06-26,2002-06-02
姜军,三级科员,1985-06-13,2019-06-06,2021-10-04
卜杰,处长,1983-09-08,2009-05-06,2018-08-02
苗峰,处长,1967-07-11,2007-01-02,2017-06-08
窦勇,副处长,1955-02-27,1976-02-18,2018-05-29
彭勇,三级科员,1964-03-31,1991-03-07,2020-08-16
常俊,处长,1995-05-31,2016-09-03,2019-12-07
华强,四级科员,1958-05-08,2001-07-23,2011-04-27
唐峰,一级科员,1982-04-28,2014-02-22,2017-07-17
傅健,一级科员,1969-10-02,1999-03-01,2010-01-13
倪军,一级科员,1956-10-14,1979-03-15,2015-07-18
柏健,四级科员,1983-08-21,2011-02-17,2017-06-17
戴军,处长,1969-03-05,2000-12-11,2022-03-10
赵勇,三级科员,1971-04-30,2013-01-16,2022-11-23
臧毅,二级科员,1989-01-07,2019-09-09,2022-12-19
祁强,二级科员,1975-06-22,2014-02-12,2017-05-13
熊毅,四级科员,1964-10-08,2017-09-28,2020-09-01
康勇,三级科员,1977-05-18,2009-04-27,2018-10-12
张军,处长,1995-09-26,2017-01-05,2021-06-23
宋峰,二级科员,1963-12-08,1996-11-12,2003-07-17
元毅,处长,1974-08-21,2007-09-07,2014-08-23
柳勇,三级科员,1980-03-06,2017-01-30,2019-12-17
谈峰,四级科员,1996-01-21,2019-02-19,2021-12-17
郝伟,处长,1958-09-24,1990-03-08,2018-10-07
罗健,三级科员,1970-11-19,1995-06-17,2006-05-06
孙军,三级科员,1978-08-20,2012-10-17,2017-09-08
周峰,处长,1997-02-28,2019-12-28,2021-07-24
舒峰,四级科员,1957-04-11,1988-11-17,2015-11-27
萧强,一级科员,1983-12-20,2016-07-21,2018-10-29
费杰,副处长,1991-08-15,2020-01-01,2022-05-12
水俊,副处长,1969-12-17,1990-06-04,2019-08-07
谢刚,处长,1991-06-20,2011-03-28,2015-02-01
朱勇,副处长,1987-01-19,2008-06-28,2014-06-19
董军,处长,1988-07-02,2020-10-21,2022-06-12
戴勇,四级科员,1974-11-19,1995-02-14,2019-03-02
成杰,副处长,1977-06-13,2010-03-29,2018-02-20
苗毅,处长,1972-08-16,2012-07-27,2014-01-08
廉伟,一级科员,1956-05-01,1995-08-29,2006-07-12
韦毅,三级科员,1955-03-13,2014-09-19,2020-11-19
苏军,一级科员,1965-11-16,2017-03-11,2020-04-27
卫军,二级科员,1997-04-06,2020-05-09,2022-07-30
范刚,处长,1996-01-31,2020-04-06,2022-02-13
苏杰,二级科员,1997-08-30,2020-06-02,2022-07-21
禹军,一级科员,1984-04-13,2006-04-14,2011-08-03
尹俊,一级科员,1970-09-04,2014-10-31,2017-09-01
鲁军,副处长,1983-05-04,2009-06-11,2021-05-17
彭健,三级科员,1982-03-26,2010-08-06,2022-05-06
马强,副处长,1971-02-12,2000-09-07,2008-07-03
蒋军,处长,1995-11-06,2016-09-18,2020-09-05
鲍勇,四级科员,2000-04-23,2020-07-20,2022-03-04
秦军,四级科员,1956-03-03,2002-05-30,2017-12-20
纪俊,二级科员,1962-01-08,2011-10-21,2016-12-29
常杰,四级科员,1986-03-08,2017-05-29,2021-01-14
庞峰,处长,1980-05-06,2017-01-02,2019-03-12
毕俊,四级科员,1966-02-09,2012-08-15,2018-10-28
元勇,副处长,1964-04-09,1998-05-27,2002-12-21
戚勇,一级科员,1966-03-29,2018-09-03,2022-08-26
汪杰,一级科员,1972-07-09,2011-06-18,2019-09-18
余毅,三级科员,1963-08-16,2010-08-11,2016-11-19
岑军,四级科员,1965-12-25,2012-10-16,2019-04-15
吕伟,二级科员,1999-12-14,2020-11-20,2022-09-23
米军,三级科员,1983-07-25,2017-07-29,2022-12-23
酆峰,一级科员,1999-02-03,2019-11-09,2021-01-15
雷杰,处长,1971-02-04,2002-07-03,2017-08-10
章杰,一级科员,1983-10-21,2004-09-26,2021-07-30
范勇,四级科员,1993-05-19,2014-11-17,2016-01-17
薛健,三级科员,1976-08-05,2011-03-10,2015-07-27
吴军,三级科员,1957-05-08,1981-09-16,2003-12-03
陈俊,副处长,1994-05-02,2016-07-29,2018-07-08
皮杰,处长,1975-09-21,2003-11-15,2020-02-20
朱刚,三级科员,1975-08-14,2017-10-20,2019-07-24
花毅,三级科员,1957-08-07,2016-01-20,2019-07-10
戴刚,四级科员,1970-05-28,2016-12-02,2022-10-13
臧伟,二级科员,1990-01-30,2014-10-20,2019-01-08
顾伟,副处长,1990-04-26,2013-02-08,2021-09-24
柳健,副处长,1964-04-16,2006-05-15,2012-02-26
彭峰,三级科员,1997-07-07,2017-02-16,2019-06-14
冯勇,三级科员,1993-12-04,2013-10-12,2015-06-22
萧俊,副处长,1980-11-27,2018-07-07,2022-11-12
史刚,二级科员,1978-10-27,2005-12-02,2011-11-20
岑伟,副处长,1993-05-12,2020-12-06,2022-06-26
陈健,二级科员,1983-05-07,2009-11-08,2015-09-24
昌俊,四级科员,1984-06-27,2014-08-30,2021-01-24
汤强,四级科员,1993-03-01,2014-05-04,2016-04-02
凤军,处长,1979-05-24,2012-04-01,2015-12-24
狄峰,二级科员,1971-05-29,2005-02-03,2012-04-20
康俊,四级科员,1978-10-30,2020-09-15,2022-10-09
范强,三级科员,1974-08-12,2010-10-10,2012-01-22
何强,处长,1960-02-28,2002-07-20,2009-01-01
吴勇,四级科员,1971-12-10,1997-01-09,2014-10-06
章毅,二级科员,1975-12-10,1998-01-07,2016-10-22
苏勇,一级科员,1970-07-04,2015-11-20,2017-05-07
唐强,一级科员,1964-08-22,2010-07-21,2014-04-16
汪军,二级科员,1968-05-06,2000-02-15,2009-04-25
赵杰,一级科员,1980-04-03,2012-01-20,2019-12-06
魏峰,二级科员,1999-09-28,2020-09-17,2022-04-21
穆刚,一级科员,1973-10-14,2012-08-30,2020-01-13
常军,处长,1957-08-02,1994-02-14,2012-06-28
陈杰,四级科员,1982-04-21,2017-11-29,2019-10-19
周刚,四级科员,1982-12-29,2017-10-06,2020-03-05
戚健,副处长,1977-10-09,2003-09-05,2005-09-10
许杰,一级科员,2000-01-15,2020-07-21,2022-08-27
计伟,处长,1978-05-14,2008-03-12,2011-04-04
祝健,处长,1992-09-20,2019-09-27,2021-03-13
云勇,四级科员,1972-11-04,2004-10-30,2018-03-24
魏军,三级科员,1955-12-18,2003-04-24,2011-08-01
滕峰,二级科员,1993-10-21,2019-06-20,2022-02-28
米毅,处长,1960-07-26,1996-11-05,2014-02-03
乐健,处长,1966-09-15,2006-06-10,2014-09-03
乐伟,四级科员,1961-04-29,1996-03-06,2004-10-02
毛军,处长,1979-08-14,2000-10-28,2011-06-17
苗勇,三级科员,1974-02-20,1999-03-20,2007-03-30
蒋勇,二级科员,1965-06-20,2011-08-05,2018-02-23
尤峰,四级科员,1981-12-15,2003-04-21,2006-04-30
滕伟,处长,1980-09-18,2008-05-17,2019-09-27
何峰,二级科员,1970-12-07,2016-05-13,2022-02-07
熊健,四级科员,1963-08-04,2000-10-18,2015-03-27
成俊,处长,1990-03-30,2013-02-18,2021-10-20
钱杰,二级科员,1995-11-06,2017-04-12,2019-01-14
伍强,四级科员,1992-10-26,2016-12-16,2019-05-18
邵强,处长,1991-07-13,2011-01-05,2021-11-28
水强,处长,1971-05-06,2006-03-08,2011-02-13
梁军,处长,1969-03-30,2009-07-22,2016-04-11
薛毅,一级科员,1992-01-09,2019-01-14,2021-07-06
董刚,二级科员,1966-03-03,2000-11-22,2014-03-23
康伟,副处长,1997-06-18,2020-04-26,2022-01-23
蒋健,三级科员,1957-09-30,1980-03-24,2013-09-24
姚杰,一级科员,1981-07-30,2004-09-26,2022-07-20
滕军,三级科员,1963-10-05,2007-01-06,2020-04-18
张刚,副处长,1994-08-28,2019-09-29,2022-11-03
姜毅,二级科员,1960-09-12,2001-12-15,2014-02-05
